miasto,liczba,prob
Bardo,2356,0.0012078694024532
Bielawa,28344,0.0145313456464921
Bierutów,4510,0.0023121778459525
Bogatynia,16245,0.0083284543475608
Boguszów-Gorce,14349,0.0073564168318344
Bolesławiec,37293,0.0191193011993589
Bolków,4652,0.0023849781240291
Brzeg Dolny,12607,0.00646333173036
Bystrzyca Kłodzka,9122,0.0046766488493967
Chocianów,7455,0.0038220145990191
Chojnów,12443,0.0063792525359617
Duszniki-Zdrój,4090,0.0020968530798106
Dzierżoniów,31061,0.0159242918122245
Głogów,62886,0.0322402696276214
Głuszyca,5968,0.0030596623912738
Góra,10877,0.0055763987650611
Gryfów Śląski,6201,0.0031791163686811
Jelenia Góra,75794,0.0388579174403832
Jawor,20853,0.0106908746389465
Jaworzyna Śląska,5046,0.0025869732617908
Jedlina-Zdrój,4682,0.0024003584644678
Jelcz-Laskowice,15109,0.0077460521229483
Kamieniec Ząbkowicki,4343,0.0022265606175104
Kamienna Góra,17376,0.0089082931821001
Karpacz,4321,0.0022152817011886
Kąty Wrocławskie,7184,0.0036830788570561
Kłodzko,25113,0.0128748829812431
Kowary,9913,0.005082177158964
Kudowa-Zdrój,9392,0.0048150719133451
Lądek-Zdrój,5043,0.0025854352277469
Legnica,93040,0.0476995624805823
Leśna,4047,0.0020748079251818
Lubań,19756,0.0101284668569043
Lubawka,5617,0.0028797124081409
Lubin,68407,0.0350707649463585
Lubomierz,1759,0.0009018006277229
Lwówek Śląski,8233,0.0042208780943963
Mieroszów,3790,0.0019430496754235
Międzybórz,2324,0.0011914637059853
Międzylesie,2410,0.0012355540152429
Milicz,10859,0.0055671705607979
Mirsk,3679,0.0018861424158003
Niemcza,2723,0.0013960222338201
Nowa Ruda,20674,0.0105991052743288
Nowogrodziec,4122,0.0021132587762785
Oborniki Śląskie,9027,0.0046279444380074
Oleśnica,35346,0.0181211171048867
Olszyna,4322,0.0022157943792033
Oława,33153,0.0169968142188171
Piechowice,5798,0.0029725071287877
Pieńsk,5487,0.0028130642662398
Pieszyce,6827,0.0035000528058355
Piława Górna,5969,0.0030601750692884
Polanica-Zdrój,6038,0.0030955498522974
Polkowice,21505,0.0110251407044811
Prochowice,3533,0.0018112914256652
Prusice,2164,0.0011094352236455
Przemków,5608,0.0028750983060093
Radków,2282,0.0011699312293711
Siechnice,10684,0.0054774519082388
Sobótka,6998,0.0035877207463361
Stronie Śląskie,5028,0.0025777450575276
Strzegom,15086,0.007734260528612
Strzelin,11984,0.0061439333272495
Syców,9946,0.0050990955334466
Szczawno-Zdrój,5243,0.0026879708306716
Szczytna,4850,0.0024864883709245
Szklarska Poręba,5872,0.0030104453018699
Ścinawa,5304,0.0027192441895637
Środa Śląska,9552,0.0048971003956848
Świdnica,53423,0.027388797575238
Świebodzice,21942,0.0112491809968716
Świeradów-Zdrój,3985,0.0020430218882751
Świerzawa,2032,0.0010417617257152
Trzebnica,13674,0.0070103591719634
Twardogóra,6231,0.0031944967091198
Wałbrzych,101857,0.0522198445355188
Wąsosz,2574,0.0013196332096412
Węgliniec,2657,0.0013621854848549
Wiązów,2280,0.0011689058733418
Wleń,1592,0.0008161833992808
Wojcieszów,3470,0.0017789927107439
Wołów,12054,0.0061798207882732
Wrocław,674079,0.3455854834194803
Zawidów,3807,0.0019517652016721
Ząbkowice Śląskie,14356,0.0073600055779367
Zgorzelec,29313,0.0150281306426623
Ziębice,7995,0.0040988607269159
Złotoryja,14337,0.0073502646956589
Złoty Stok,2481,0.0012719541542812
Żarów,6507,0.0033359958411559
Żmigród,6222,0.0031898826069882