Nazwa,rodzaj,kategoria,opis,Turniej,Kupno,Wypożyczenie,Liczba uczestników
Jamniki,planszowa,familijna,"Podczas gry Twój jamnik będzie rósł, musisz więc ubierać go w coraz większy kubraczek. Staraj się, aby na kubraczku było jak najwięcej symboli kostek – zdobędziesz za nie punkty! Dodatkowe punkty dostaniesz za kolory kubraczka.",NIE,59.99,,
Czarne Historie,karciana,towarzyska,"Czarne historie to zestaw 50 elektryzujących, okropnych, a czasami makabrycznych opowieści, które faktycznie się wydarzyły albo… mogły się wydarzyć. Tak naprawdę jest to gra, w której gracze starają się rozwikłać zagadki, które zostają im przedstawione.",NIE,30.9,8,
Wsiąść do Pociągu: Europa,planszowa,familijna,"Wsiąść do Pociągu: Europa to gra familijna o wielkiej, kolejowej przygodzie. Uczestnicy zbierają karty przedstawiające wagony i używają ich by budować dworce, pokonywać tunele, wsiadać na promy i zajmować trasy kolejowe jak Europa długa i szeroka.",TAK,141.9,20,5
Cyklady: Monumenty,planszowa,strategiczna,"Wybierz się w podróż do archipelagu Cyklady w czasie złotego wieku antycznej Grecji. Rekrutuj oddziały, buduj okręty, wznoś fortece, konstruuj metropolie, wzywaj mitologiczne istoty i módl się o pomoc do Bogów Olimpu. Walka o doprowadzenie twojego ludu do największej chwały stanie się legendą.",NIE,38.2,22,
Terraformacja Marsa,planszowa,strategiczna,"Ludzkość rozpoczęła ekspansję w Układzie Słonecznym. Na Marsie założono już kilka niewielkich kolonii. Ich mieszkańcy są odgrodzeni od naturalnego środowiska straszliwie zimnej, suchej i niemal pozbawionej atmosfery planety.Zwiększenie odsetka imigracji z Ziemi wymaga terraformacji Marsa, czyli dostosowania jego środowiska, aby ludzie mogli w nim przeżyć bez sprzętu ochronnego i aby zminimalizować śmiertelność w wyniku drobnych wypadków.",TAK,133.99,22,5
One Piece Starter Deck ST06 Absolute Justice,karciana,kolekcjonerska,"Karty One Piece Card Game są idealnym wyborem dla fanów karcianek, ale także anime One Piece. Jeśli jesteś fanem serii, z pewnością docenisz wysoką jakość wykonania oraz wierność wobec postaci i wydarzeń z anime. Karty pozwalają na jeszcze głębsze zanurzenie się w świat One Piece oraz pozwolą na niesamowite doznania podczas gry.",TAK,90,,2
Flesh and Blood - Monarch Blitz,karciana,kolekcjonerska,"Flesh and Blood jest grą turową, w której dwaj gracze wybierają bohatera, bądź bohaterkę, po to, by w konwencji konsolowych bijatyk stoczyć ze sobą pojedynek. Każda z postaci posiada swoją klasę, czyli unikatowy styl walki reprezentowany przez dedykowane karty i mechaniki. Na początku, niczym w klasycznych grach fabularnych dobieramy naszej postaci zestaw ekwipunku i broni, niezbędnych dla efektywności pojedynku.",TAK,49,,2
Paszczaki,karciana,towarzyska,"Podczas gry wszyscy kolejno wykładamy na stół po jednej karcie. Jak złapać paszczaka? Musisz swoją kartę wyłożyć w taki sposób, aby na początku i na końcu rzędu kart znalazł się taki sam paszczak. Gdy to ci się uda, zdobędziesz wszystkie paszczaki z tego rzędu!",NIE,30.9,5,
Jungle Speed Eco,inna,towarzyska,"Odkrywaj symbole, patrz uważnie i jak najszybciej pozbądź się swoich kart! Jungle Speed to bezkonkurencyjna gra towarzyska, w której liczy się spostrzegawczość i szybkość reakcji.",TAK,60.9,,10
Monopoly Classic,planszowa,familijna,"Monopoly Standard to kultowa i znana na całym świecie gra dla młodzieży i dorosłych. Zostań właścicielem ulicy Marszałkowskiej, placu Trzech Krzyży lub Alei Jerozolimskich, postaw tam bajeczne hotele, które wzbogacą zarówno miasto i jak Twój portfel… Przenieś się na ulicę, na której zbijesz niebotyczny majątek.",TAK,115.9,,6
UNO,karciana,towarzyska,"Cel gry jest prosty – gracze próbują jak najszybciej pozbyć się wszystkich swoich kart, dopasowując je do karty, która aktualnie znajduje się na górze stosu. Specjalne karty funkcyjne zapewniają ekscytującą zabawę i pomagają pokonać innych graczy!",TAK,22.83,,10
Wirus,karciana,familijna,"Waszym zadaniem będzie stawienie czoła epidemii i rywalizowanie o to, komu pierwszemu uda się zwalczyć wirusy, a do tego uratować świat przed pandemią. Będziecie musieli zbudować ludzkie ciało, jednocześnie bronić je przed zainfekowaniem, zniszczeniem lub kradzieżą organów przez zarażonych przeciwników. Wszystkie chwyty dozwolone.",NIE,18.49,4,
Cluedo,planszowa,towarzyska,"Kto popełnił zbrodnię w rezydencji? Wyeliminuj podejrzanych i rozwiąż zagadkę kto zabił, jakiego użył narzędzia i gdzie miało miejsce całe zajście.  Cel pozostaje ten sam - znaleźć mordercę.",NIE,119.99,13,
Dobble,karciana,familijna,"Spójrz na pierwszą kartę, którą trzymasz w ręku oraz na tę, która leży na środku stołu. Znajdź na nich wspólny symbol, nazwij go i szybko pozbądź się swojej karty. Teraz następna!",NIE,39.99,6,
Ubongo,planszowa,familijna,"Szalona gra która rozkręci Twój mózg! Ubongo to światowy bestseller, który zdobył popularność dzięki bardzo prostym zasadom i błyskawicznej rozgrywce. Dwa poziomy trudności łamigłówek umożliwiają dostosowanie gry do wieku i doświadczenia graczy.",NIE,81.46,,
5 sekund,inna,familijna,"Lubisz adrenalinę? Polubisz 5 sekund! Kultowa gra towarzyska, w której masz tylko 5 sekund, aby odpowiedzieć na pytanie. Uważaj! Gracze będą próbowali Ci przeszkodzić za pomocą specjalnych kart. Wylosuj kartę i odlicz czas za pomocą specjalnego czasomierza. Spiesz się, masz tylko 5 sekund…",NIE,63.41,,
Splendor,karciana,towarzyska,"Wciel się w renesansowego kupca i rozpocznij swoją drogę ku chwale i świetności wydobywając, transportując, a następnie sprzedając drogocenne minerały. Podczas rozgrywki pobieraj żetony z banku, by następnie mądrze je wydawać i zapewnić sobie stałą produkcję danego kamienia. Stopniowo napędzając silnik produkcji masz szansę na zakup coraz bardziej wartościowych kart, które zaprowadzą Cię prosto do zwycięstwa.",NIE,121.91,17,
Ego,inna,towarzyska,"Ego to kultowa gra towarzyska, która z pewnością stanie się atrakcją niejednej imprezy. Zabawa polega na trafnym odpowiadaniu na niebanalne pytania na temat naszych znajomych, rodziny, przyjaciół. Jak dobrze znasz swoich znajomych i ich Ego?",NIE,59.9,,
Pędzące Żółwie,planszowa,familijna,"Celem gry “Pędzące żółwie” jest doprowadzenie swojego żółwia na ostatnie pole planszy. Wygrywa ten z graczy, któremu uda się to zrobić jak najszybciej. Jak powszechnie wiadomo, żółwie prowadzą nieśpieszny tryb życia, wszystko jednak zmienia się gdy w zasięgu wzroku pojawi się soczysta i smakowita sałata. Żaden z żółwi się jej nie oprze i wtedy właśnie rozpoczyna się prawdziwy wyścig pełen niespodziewanych zwrotów akcji.",NIE,48.74,,
Tiletum,planszowa,strategiczna,"Czy zostaniesz najważniejszym kupcem renesansowej Europy?Wciel się w zamożnego kupca, który chce pomnożyć swój majątek oraz zdobyć wpływy i uznanie. Aby to osiągnąć, będziesz przemierzać kontynent, a w odwiedzanych miastach zbudujesz placówki handlowe i weźmiesz udział we wznoszeniu wspaniałych katedr. Poznasz wpływowe osobistości i zdobędziesz ich względy, a zdolności, które reprezentują, pozwolą Ci zyskać przewagę nad konkurentami.",NIE,148,,
Mistakos,inna,zręcznościowa,"Mistakos Krzesła, w wersji dla 3 osób, zachwyci zarówno dzieci, jak i starszych graczy! Buduj wraz z przeciwnikami imponująca konstrukcję z krzeseł i w zależności od wariantu rozgrywki, jak najszybciej pozbądź się swoich krzesełek, lub zdobądź jak najmniejszą ilość punktów karnych.",NIE,44.99,,
"Buła, Pizza, Kot, Ser, Koza",karciana,towarzyska,"Buła, Pizza, Kot, Ser, Koza - gra równie szalona, jak jej nazwa! To wyjątkowe połączenie Jungle Speeda i Uga Buga! z pewnością spodoba się wszystkim fanom głośnych, dynamicznych zabaw, które bezlitośnie karzą tych, którym zdarzy się zagapić!",NIE,32.99,5,
"Karty dżentelmenów, Epizod trzeci",karciana,towarzyska,"Karty Dżentelmenów: Epizod Trzeci to towarzyska gra karciana przeznaczona dla osób lubiących czarny humor bez cenzury! W każdej kolejce Dżentelmen zadaje pytanie z Czarnej Karty, a pozostali odpowiadają za pomocą swojej najzabawniejszej Białej Karty.",NIE,62.49,,
Azul Letni Pawilon,planszowa,logiczna,"Gra planszowa Azul: Letni Pawilon przenosi nas do XVI-wiecznej Portugalii, gdzie podejmujemy się zadania, które w rzeczywistości nigdy się nie rozpoczęło. Jako mistrzowie rzemiosła, będziemy starali się wznieść Letni Pawilon z najlepszych dostępnych materiałów, wybierając płytki w odpowiednich kolorach i tworząc z nich fragmenty gwiazd. Za odpowiednie ułożenie wzorów względem pól specjalnych otrzymamy dodatkowe premie i cenne punkty, które przybliżą nas do mistrzowskiego tytułu.",NIE,159,,
Władca Pierścieni Podróże Przez Śródziemie,planszowa,strategiczna,"Wyrusz w Podróże przez Śródziemie z grą Władca Pierścieni od Rebel! Ile razy czytając lub oglądając Władcę Pierścieni marzyliście, aby stanąć u boku sławnej Drużyny Pierścienia i wspólnie z kransoludami, hobbitami i elfami przeżywać najniezwyklejsze przygody w Śródziemiu? Teraz, dzięki grze Władca Pierścieni: Podróże przez Śródziemie możecie wcielić się w ulubionych bohaterów i stawić czoła złu!",NIE,315.95,,
Jenga,inna,zręcznościowa,"Cel gry jest prosty – musisz zostać ostatnim graczem, który dostawi drewniany klocek tak, aby wieża nie uległa zawaleniu. Wyciągaj klocki jedną ręką, a następnie układaj je na szczycie wieży. Tylko musisz być ostrożny! Osoba, która przewróci wieżę - przegrywa.",TAK,59.94,4,2+
Mistrz Słowa,inna,logiczna,Mistrz słowa - to pasjonująca gra słowna dla 2-10 osób. W trakcie swej kolejki każdy z graczy stara się jak najszybciej ułożyć słowo z liter znajdujących się na wyrzucanych z kubka kościach. Czas odmierzany jest przez klepsydrę.,TAK,40.25,,10
Blood Rage,planszowa,strategiczna,"Chwałę można zdobyć w zwycięskich bitwach, podczas plądrowania, wyruszając na wyprawy, a nawet ginąc w chwale , w gniewie Ragnaröku. Rozgrywka trwa przez trzy Epoki, a niszczycielska siła Ragnaröku w każdej z Epok pochłania kolejną część świata Wikingów. Gracz z największą liczbą Punktów Chwały na koniec gry zostaje zwycięzcą.",NIE,266.83,,
Scythe,planszowa,strategiczna,"Scythe to gra idealnie łącząca ze sobą mechaniki znane z eurogier z mocno klimatyczną rozgrywką. Zachwyci zarówno graczy, którzy lubią rozwój, optymalizację i strategiczne planowanie, jak również tych, którzy cenią w grach wyraźną warstwę fabularną, elementy przygodowe, powiązanie zasad gry z tematem i ograniczenie negatywnej interakcji.",TAK,289,,5
Ryzyk Fizyk,planszowa,towarzyska,Najczęściej nagradzana gra imprezowa! Ile ważył najcięższy w historii mistrz sumo? Znasz odpowiedź na to pytanie? Jeśli nie – spróbuj zgadnąć. A może zaryzykujesz i postawisz dolary na odpowiedź innego gracza?,TAK,104.73,10,14
Catan: Osadnicy z Catanu,planszowa,strategiczna,"Catan to gra, w której można poczuć się jak osadnik. Gracze zasiedlają wyspę Catan, tworzą i rozwijają kolonie, dbają o sojusze i surowce. Gra Catan ma prostą mechanikę, ciekawy scenariusz i proste zasady, a rozgrywka jest ciekawa, zróżnicowana i nastawiona na planowanie, strategię i umiejętność zarządzania.",TAK,129.99,14,4
Dixit Odyseja,karciana,towarzyska,"Dixit to narracyjna gra karciana, w której wymyślamy i odgadujemy skojarzenia do wieloznacznych, bogato ilustrowanych kart. W każdej rundzie jedna z osób zostaje Bajarzem - wybiera dowolną kartę z ręki i podaje hasło, które jej zdaniem odzwierciedla obrazek.",TAK,99.9,15,8
Tajniacy,karciana,towarzyska,"Tajniacy próbują odgadnąć, które słowa ich szef miał na myśli. Gdy tajniak dotknie słowa, szef wyjawia tożsamość agenta, kładąc na słowie odpowiednią kartę. Jeśli to agent ich drużyny, tajniacy mogą dalej zgadywać. W innym przypadku następuje koniec ich tury.",TAK,49.9,8,8
Munchkin,karciana,towarzyska,"Munchkin to niekolekcjonerska gra karciana, która oddaje urok typowej gry fabularnej bez odgrywania postaci. Musisz tylko zabijać potwory i zbierać magiczne przedmioty! Szybka partyjka Munchkina sprawi, że bywalcy sesji RPG będą pękać ze śmiechu.",TAK,44.9,11,5
7 Cudów Świata,planszowa,strategiczna,"Zostań przywódcą jednego z siedmiu wielkich miast świata antycznego. Zbieraj surowce ze swoich ziem, weź udział w odwiecznym wyścigu cywilizacyjnym, nawiąż kontakty handlowe i stwórz militarną potęgę. Pozostaw ślad na kartach historii budując cud architektury, który przetrwa wieki! 7 cudów świata to świetnie zbalansowana gra o rozwoju cywilizacji",TAK,152.43,15,7
Super Farmer,inna,familijna,"Super Farmer to kultowa gra rodzinna o strategiczno-ekonomicznym podłożu, znana od kilkudziesięciu lat, odpowiednia dla dzieci i dorosłych. Dzięki niej wcielasz się w hodowcę zwierząt, którego ambicją jest zostanie superfarmerem. Żeby osiągnąć ten tytuł musisz zdobyć przynajmniej po jednym przedstawicielu kilku gatunków zwierząt dostępnych w rozgrywce. Żeby to osiągnąć rozmnażasz swoje zwierzęta, handlujesz nimi i wymieniasz ze stadem ogólnym.",TAK,34,5,4
Mastermind,planszowa,logiczna,"Mastermind to gra znana chyba każdemu fanowi gier logicznych na świecie. Zasady gry są bardzo proste. Jeden z graczy układa ""kod"" składający się z różnokolorowych elementów, następnie ukrywa go przed drugim graczem. Jego zadaniem będzie z kolei odgadnięcie tego kodu w skończonej liczbie prób. Po każdej próbie gracz zgadujący informowany jest jedynie ile z elementów, które wypróbował w danej kolejce znajduje się w ukrytym kodzie i ile z nich znajduje się już na swojej pozycji. Zbierająć informacje z kolejnych kolejek w końcu dochodzi do ostatecznego rozwiązania.",TAK,26.19,,2
K2,planszowa,stretegiczna,"K2 to rodzinna gra planszowa, w której uczestnicy kierują dwuosobowymi zespołami himalaistów i próbują zdobyć tytułowy szczyt, a następnie bezpiecznie zejść na dół. W tym celu będziemy musieli wybrać odpowiednią drogę, zadbać o kondycję naszych wspinaczy oraz ich zaadaptowanie do zmiennych warunków pogodowych.",TAK,119.9,,5
URATUJ STEFANA,planszowa,logiczna,"Celem wszystkich wyzwań, jest przesunięcie w stronę schodków chłopca w czerwonym kole ratunkowym, tak aby mógł wyjść z basenu. Wybierz wyzwanie z książeczki i umieść wszystkie czternaście elementów w basenie tak, jak pokazano w wyzwaniu. Uwaga: na basenie zawsze zostaną dwa wolne pola. To dzięki nim można swobodnie przesuwać elementy i rozwiązać zagadkę. Po rozpoczęciu wyzwania, nie można wyjmować z basenu żadnego elementu.",NIE,79.99,8,
Story Cubes,planszowa,narracyjna,"Oto prosta w założeniach i jednocześnie genialna gra, która dostarczy Wam wiele radości, stanowiąc przy tym doskonały trening pomysłowości i wyobraźni. Story Cubes to 9 estetycznie wykonanych, sześciennych kostek, z których każda zawiera na ściankach odmienny zestaw ilustracji inspirujących do tworzenia własnych, oryginalnych opowieści!",NIE,45.88,5,
Ślimaki to mięczaki,planszowa,familijna,"Najlepsza Dziecięca Gra Roku 2019! Takiego wyścigu jeszcze nie było! Wygranajwolniejszy ślimak! Podczas gry nie znasz kolorów ślimaków należących do rywali. Za pomocą kostek przemieszczasz nie tylko swojego, lecz także pozostałe ślimaki. Rewelacyjna zabawa dla graczy w każdym wieku. Śpiesz się powoli!",NIE,45.49,,
Dobry rok,planszowa,strategiczna,"Gra ""Dobry Rok"" sprawdzi się u dzieci w wieku szkolnym. Zabawa polega na przeprowadzeniu rodzinki zwierzątek przez cały rok i przygotowaniu ich do nadejścia mroźnej zimy.",NIE,160.97,,
Zakazana wyspa,inna,przygodowa,Zakazana Wyspa to kooperacyjna gra przygodowa dla 2 do 4 osób. Gracze wcielają się w zespół śmiałków poszukujących czterech zaginionych skarbów na tytułowej wyspie. Tylko dobrze zorganizowana współpraca uczestników rozgrywki może powstrzymać Wyspę przed zatonięciem.,NIE,74.96,,
Mrówki,karciana,familijna,"Twoim zadaniem jest odnajdywanie małych mrówek w wielkim mrowisku. Nie będzie to jednak takie łatwe, ponieważ mrówki są w różnych kolorach i mają różne numery, będziesz musiał jak najszybciej odnaleźć tę właściwą! Wygra gracz, który odnajdzie najwięcej mrówek.",NIE,25.97,,
Odjechane Jednorożce,karciana,towarzyska,"Wszystko zaczyna się tak niewinnie. Jako gracz otrzymujesz kartę jednorożca. Brzmi to tak pięknie, a samo stworzenie jest takie urocze. Mimo to nie daj się zwieść i nie popadnij w zbytni zachwyt. Twoja uwaga może zostać w ten sposób uśpiona, a masz całkiem inne zadanie do wykonania - zbudowanie armii dorosłych jednorożców. Robisz to nie po to, żeby było kolorowo, magicznie i przyjemnie! Twoim celem jest stworzenie prawdziwych zabójców, którzy staną do walki przeciw innym jednorożcom pozostałych graczy.",NIE,82.47,,
Concordia,planszowa,strategiczna,"Dwa tysiące lat temu Imperium Rzymskie zajmowało wszystkie tereny dookoła Morza Śródziemnego. Na granicach panował pokój, a w prowincjach ład i porządek. Jednolite prawo, wspólna waluta i kwitnąca ekonomia umacniały władzę dynastii panujących w niezliczonych rzymskich miastach. Przejmij władzę nad jedną z tych dynastii, wysyłaj kolonialistów do najbardziej oddalonych terenów imperium, rozwijaj sieć handlową i zaskarb sobie przychylność bogów - wszystko po to, by osiągnąć zwycięstwo i zapewnić wieczną chwałę i sławę swemu rodowi.",NIE,177,25,
Podaj Łapę,karciana,familijna,"Gracze zostają wolontariuszami schroniska i pomagają znaleźć odpowiednie domy dla psów. Uczestnik gry musi zaplanować i wykonać plan treningowy dla swoich podopiecznych, aby usprawnić ich umiejętności i wzmocnić cechy. Każdy z opiekunów chcących zaadoptować zwierzaka wymaga innych cech. Niektórzy chcą, aby ich pies był towarzyski i cierpliwy, a inni, aby był odważny i sprawny. Podaj łapę i zostań przyjacielem zwierząt!",NIE,136.44,9,
Ekosystem,karciana,familijna,"Gra pełna harmonii i równowagi. Jak w przyrodzie. Tworzycie krainy pełne zwierząt, owadów, łąk i potoków. Kto z Was stworzy najlepiej działający ekosystem? Niedźwiedź je pstrągi, a pstrągi jedzą ważki – im lepiej wykorzystacie takie zależności między kartami, tym więcej punktów zdobędziecie!",NIE,54.03,7,
Koty,karciana,towarzyska,"Podczas gry w Koty odwiedzicie 4 krainy ze snów! Spotkacie w nich zarówno przyjaźnie nastawione koty, jak i złowieszcze kruki, które będziecie mogli wysłać do swoich rywali. Grę wygrywa osoba z największą liczbą kotów w swoim śnie!",NIE,53,6,
Minerały,planszowa,strategiczna,"Pod Twoimi stopami znajdują się wspaniałe bogactwa. Zamknięte w skalnych skorupach minerały zalśnią tysiącem barw, gdy tylko uda Ci się je wydobyć na powierzchnię. To twoje zadanie. Wyrusz w głąb ziemi, aby odnaleźć mlecznobiałe wollastonity, czarne niczym bezksiężycowa noc antracyty, czy błękitne jak morska toń kianity. Rozważnie używaj narzędzi, by sięgnąć po turmaliny arbuzowe i stąpaj ostrożnie, a złote aurypigmenty staną się częścią twojej kolekcji.",NIE,119.3,18,